mataura,NZ,34.38,168.86,-46.19,1533838064,85,8,5.95
ushuaia,AR,46.4,-68.31,-54.81,1533837600,61,40,16.11
shenzhen,CN,86,114.05,22.54,1533837600,74,40,13.87
vaini,IN,67.5,74.49,15.34,1533838065,100,100,4.61
ganzhou,CN,75.87,114.93,25.86,1533838065,99,32,1.7
jamestown,AU,53.37,138.6,-33.21,1533838066,48,0,21.27
new norfolk,AU,51.8,147.06,-42.78,1533835800,66,75,14.99
hilo,US,75.2,-155.08,19.71,1533833760,88,40,4.7
bluff,AU,40.86,149.07,-23.58,1533838067,82,0,3.04
banda aceh,ID,76.95,95.32,5.56,1533838067,89,48,4.72
zaraza,VE,87.3,-65.33,9.35,1533838067,72,36,6.06
cape town,ZA,55.4,18.42,-33.93,1533834000,66,0,14.99
totma,RU,59.22,42.76,59.98,1533838068,82,36,6.17
milkovo,BG,84.2,24.68,41.53,1533837600,53,0,8.05
tasiilaq,GL,48.2,-37.64,65.61,1533837000,70,40,6.93
hithadhoo,MV,83.07,73.08,-0.6,1533838069,100,20,6.73
arraial do cabo,BR,80.6,-42.02,-22.97,1533834000,73,40,11.41
rikitea,PF,73.35,-134.97,-23.12,1533838069,100,88,18.14
ust-uda,RU,58.5,103.03,54.17,1533838069,91,92,6.51
carnarvon,ZA,40.41,22.13,-30.97,1533838069,61,0,13.22
busselton,AU,53.1,115.35,-33.64,1533837801,100,68,17.81
tuktoyaktuk,CA,41,-133.03,69.44,1533835080,80,75,8.05
portland,US,78.8,-122.67,45.52,1533837180,60,75,3.15
souillac,FR,71.6,-0.6,45.6,1533837600,53,0,12.75
ponta do sol,BR,70.65,-46,-20.63,1533838070,69,8,8.75
manzhouli,CN,56.16,117.43,49.6,1533838071,82,12,2.71
namibe,AO,66.15,12.15,-15.19,1533838071,98,24,10.42
plettenberg bay,ZA,56.52,23.37,-34.05,1533838071,100,88,13.78
funadhoo,MV,84.6,73.27,6.15,1533838072,93,68,13
kapaa,US,77,-159.32,22.08,1533833760,88,90,13.87
padang,ID,82.62,100.36,-0.92,1533838072,100,24,6.62
bethel,US,51.8,-161.76,60.79,1533835800,93,90,6.93
ponta delgada,PT,71.6,-25.67,37.73,1533835800,73,20,8.05
norman wells,CA,46.4,-126.83,65.28,1533834000,100,90,8.05
vostok,RU,62.28,135.83,46.45,1533838073,82,80,2.04
cidreira,BR,53.55,-50.22,-30.17,1533838074,93,48,23.29
klaksvik,FO,51.8,-6.59,62.23,1533837000,81,76,13.87
punta arenas,CL,50,-70.91,-53.16,1533834000,53,40,4.7
mount darwin,ZW,72.18,31.58,-16.77,1533838074,36,0,10.54
westport,IE,57.2,-9.52,53.8,1533837600,62,40,12.75
pevek,RU,34.65,170.27,69.7,1533838075,100,8,6.51
yulara,AU,41,130.99,-25.24,1533834000,41,0,1.12
nerchinskiy zavod,RU,54.27,119.61,51.31,1533838075,100,0,2.37
thompson,CA,80.6,-97.86,55.74,1533835020,51,75,11.41
naze,NG,75.2,7.07,5.43,1533834000,94,75,3.36
carutapera,BR,83.88,-46.02,-1.2,1533838010,75,36,8.75
morristown,US,78.8,-83.29,36.21,1533836100,78,75,5.82
airai,TL,63.36,125.41,-8.93,1533838076,98,0,1.92
albany,US,84.2,-73.75,42.65,1533837060,51,40,14.99
labuhan,ID,72.09,115.51,-2.54,1533838077,87,44,2.04
pastavy,BY,73.98,26.84,55.11,1533838077,62,0,8.08
port elizabeth,US,91.4,-74.98,39.31,1533837240,55,20,10.29
saint george,GR,82.4,22.34,39.45,1533835200,42,20,6.93
mount isa,AU,41,139.49,-20.73,1533835800,41,0,8.52
plouzane,FR,66.2,-4.62,48.38,1533835800,59,40,12.75
qaanaaq,GL,36.45,-69.36,77.48,1533838079,97,24,1.48
soubre,CI,75.51,-6.61,5.79,1533838079,83,88,5.17
severo-kurilsk,RU,49.5,156.12,50.68,1533838079,100,44,3.38
honiara,SB,75.2,159.96,-9.43,1533834000,94,20,2.71
hermanus,ZA,48.69,19.24,-34.42,1533838079,78,68,6.4
